Timestamp,Name,"""If my country asked me to fight a war, I would.""","""It's sometimes necessary to censor books.""","""It's OK to burn a country's flag.""","""While swimming with an old friend and a new, promising friend, they both start to struggle. If I can pick only save one I should pick the old friend.""","""Someone employs ten people in a struggling business. They should fire their employees rather than commit tax fraud.""","""If my family member committed a crime, I would lie to cover for them.""","""Monogamous relationships are better than polyamorous ones.""","""I have a moral duty to avoid eating meat.""","""It's worth people today working full-time to prevent AI causing human extinction.""","""Schools should be able to mandate uniforms."""
23/07/2022 20:42:09,Adam,4,1,4,5,4,7,7,4,7,5
23/07/2022 20:53:38,Betty,2,2,7,6,4,5,5,2,7,7
23/07/2022 20:53:41,Charlie,5,2,7,5,6,3,2,6,6,4
23/07/2022 20:53:52,David,5,5,7,5,7,5,4,2,7,4
23/07/2022 20:54:09,Eve,5,2,7,5,6,5,5,3,7,4
23/07/2022 20:54:16,Felix,3,5,7,5,5,2,2,5,7,6
23/07/2022 20:54:17,Grace,5,3,6,6,6,6,3,1,5,6
23/07/2022 20:54:34,Harley,6,7,6,4,7,5,6,5,6,7
23/07/2022 20:54:45,Ian,1,1,7,4,2,5,5,6,6,7
23/07/2022 20:54:46,Jade,3,5,6,7,6,6,5,6,6,5
23/07/2022 20:54:47,Kelly,3,2,5,7,6,4,2,1,6,6
23/07/2022 20:54:51,Leo,2,1,7,1,4,2,2,5,6,2
23/07/2022 20:54:53,Mia,3,6,7,1,4,4,4,4,7,1
23/07/2022 20:54:58,Noah,4,1,4,6,4,6,4,2,7,7
23/07/2022 20:55:24,Olivia,2,2,2,4,6,2,4,2,6,7
23/07/2022 20:55:32,Parker,2,2,5,5,6,3,5,5,7,5
23/07/2022 20:55:37,Quin,4,3,7,4,2,5,3,1,3,6
23/07/2022 20:55:58,Ryan,2,3,6,4,5,2,3,5,7,5
23/07/2022 20:56:47,Sydney,6,2,7,6,6,5,5,5,7,6
